Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
26.357750,9622.000000,9545.000000,9471.000000,9474.000000,9733.000000,10925.000000,8456.333000,9310.333000,10028.330000,4836.000000,4244.000000,6023.000000
26.621330,9588.333000,9490.333000,9114.333000,9511.000000,9782.000000,11058.000000,8027.667000,9334.667000,10092.670000,4894.000000,4021.000000,6086.000000
26.884920,9477.333000,9425.333000,9060.333000,9688.667000,9767.667000,10985.670000,8202.333000,9367.333000,10047.330000,4872.000000,4090.000000,6250.000000
27.148500,9407.000000,9351.000000,9015.000000,9231.667000,9737.667000,10902.670000,8126.667000,9182.667000,9963.667000,4863.000000,4156.000000,6242.000000
27.412080,9306.000000,9292.000000,8894.000000,9099.667000,9476.667000,10699.670000,7993.667000,8958.667000,9726.667000,4689.000000,3950.000000,6319.000000
27.675670,9309.667000,9254.667000,8785.667000,9494.333000,9498.333000,10877.330000,8014.000000,9030.000000,9796.000000,4717.667000,3810.667000,6296.667000
27.939250,9453.667000,9399.667000,8918.667000,9253.667000,9658.667000,10903.670000,8106.000000,9149.000000,9812.000000,4755.667000,3949.667000,6321.667000
28.202810,9572.333000,9410.333000,9328.333000,9411.333000,9712.333000,10937.330000,8259.000000,9126.000000,9993.000000,4792.667000,3851.667000,6406.667000
28.466390,9605.000000,9474.000000,9032.000000,9358.667000,9764.667000,11127.670000,8253.000000,9202.000000,9965.000000,4726.667000,3988.667000,6548.667000
28.729970,9533.333000,9499.333000,9077.333000,9365.667000,9650.667000,11171.670000,8388.333000,9367.333000,10052.330000,4749.000000,3917.000000,6550.000000
28.993560,9465.333000,9393.333000,9199.333000,9362.667000,9819.667000,11177.670000,8276.000000,9274.000000,9961.000000,4769.000000,3841.000000,6578.000000
29.257110,9317.000000,9313.000000,9065.000000,9393.000000,9560.000000,10972.000000,8282.667000,9083.667000,9811.667000,4712.333000,3719.333000,6536.333000
29.520690,9222.333000,9119.333000,9066.333000,9349.000000,9514.000000,10931.000000,8114.333000,8988.333000,9688.333000,4631.667000,3656.667000,6412.667000
29.784280,9371.667000,9221.667000,8754.667000,9149.000000,9587.000000,10930.000000,8207.000000,8980.000000,9737.000000,4518.000000,3608.000000,6653.000000
30.047860,9456.333000,9338.333000,9004.333000,9351.667000,9654.667000,11179.670000,8201.000000,9100.000000,9908.000000,4786.667000,3765.667000,6719.667000
30.311420,9643.000000,9470.000000,9354.000000,9798.333000,9826.333000,11352.330000,8529.667000,9171.667000,10037.670000,4781.333000,3734.333000,6754.333000
30.575000,9625.000000,9469.000000,9157.000000,9415.333000,9777.333000,11435.330000,8396.333000,9299.333000,10068.330000,4804.667000,3851.667000,6896.667000
30.838580,9619.333000,9499.333000,9050.333000,10019.330000,9788.333000,11411.330000,8445.000000,9326.000000,10079.000000,4799.333000,3708.333000,6837.333000
31.102140,9658.667000,9453.667000,9307.667000,9607.667000,9812.667000,11398.670000,8428.667000,9295.667000,10099.670000,4684.333000,3699.333000,6971.333000
31.365720,9492.000000,9317.000000,8819.000000,9351.000000,9659.000000,11225.000000,8124.000000,9114.000000,9957.000000,4679.000000,3549.000000,6872.000000
31.629300,9548.333000,9379.333000,8988.333000,9415.333000,9663.333000,11260.330000,8145.667000,9122.667000,9927.667000,4577.000000,3445.000000,6888.000000
31.892890,9497.000000,9357.000000,9208.000000,9413.667000,9590.667000,11219.670000,8205.000000,9095.000000,9864.000000,4617.333000,3487.333000,6855.333000
32.156470,9563.667000,9423.667000,9152.667000,9417.333000,9725.333000,11473.330000,8367.333000,9293.333000,10001.330000,4661.000000,3518.000000,7057.000000
32.420030,9718.333000,9538.333000,9103.333000,9572.333000,9736.333000,11541.330000,8366.667000,9397.667000,10104.670000,4833.333000,3607.333000,7183.333000
32.683610,9700.333000,9583.333000,9017.333000,9682.667000,9860.667000,11622.670000,8350.333000,9359.333000,10167.330000,4805.000000,3504.000000,7264.000000
32.947190,9816.000000,9658.000000,9262.000000,10000.330000,9822.333000,11606.330000,8310.333000,9458.333000,10292.330000,4708.000000,3531.000000,7156.000000
33.210780,9820.000000,9495.000000,9329.000000,9742.000000,9890.000000,11640.000000,8410.000000,9349.000000,10222.000000,4650.667000,3524.667000,7155.667000
33.474360,9522.667000,9386.667000,8913.667000,9452.667000,9693.667000,11453.670000,8302.000000,9140.000000,9989.000000,4514.333000,3415.333000,6989.333000
33.737920,9619.000000,9323.000000,8812.000000,9555.667000,9667.667000,11530.670000,8235.667000,9092.667000,9871.667000,4590.333000,3443.333000,7032.333000
34.001500,9689.667000,9519.667000,9172.667000,9390.000000,9716.000000,11479.000000,8268.667000,9184.667000,10014.670000,4457.333000,3416.333000,7048.333000
34.265080,9855.333000,9660.333000,8906.333000,9596.333000,9791.333000,11585.330000,8375.667000,9362.667000,10076.670000,4541.000000,3450.000000,7127.000000
34.528670,9940.667000,9669.667000,9109.667000,9604.000000,9760.000000,11901.000000,8594.333000,9482.333000,10211.330000,4783.333000,3596.333000,7282.333000
34.792250,10089.670000,9744.667000,9328.667000,9700.000000,9863.000000,11835.000000,8584.667000,9526.667000,10323.670000,4806.667000,3441.667000,7288.667000
35.055810,9986.000000,9775.000000,9257.000000,10007.670000,9894.667000,11798.670000,8512.000000,9574.000000,10259.000000,4586.667000,3316.667000,7251.667000
35.319390,9927.667000,9772.667000,9358.667000,9680.667000,9786.667000,11699.670000,8434.667000,9440.667000,10326.670000,4711.667000,3528.667000,7308.667000
35.582970,9678.333000,9519.333000,9191.333000,9534.000000,9675.000000,11589.000000,8422.000000,9259.000000,10111.000000,4556.667000,3374.667000,7155.667000
35.846550,9771.667000,9537.667000,8908.667000,9887.333000,9581.333000,11643.330000,8395.333000,9295.333000,10105.330000,4388.333000,3377.333000,7181.333000
36.110140,9869.667000,9753.667000,9066.667000,9594.667000,9844.667000,11755.670000,8471.667000,9464.667000,10219.670000,4410.000000,3277.000000,7147.000000
36.373720,10046.000000,9812.000000,9228.000000,9813.000000,9860.000000,11932.000000,8550.333000,9520.333000,10271.330000,4502.333000,3369.333000,7237.333000
36.637310,10186.330000,9899.333000,9565.333000,10151.330000,9990.333000,11929.330000,8650.333000,9707.333000,10418.330000,4460.333000,3353.333000,7509.333000
36.900860,10178.670000,9971.667000,9152.667000,9866.333000,9857.333000,12023.330000,8569.000000,9568.000000,10452.000000,4395.333000,3272.333000,7463.333000
37.164440,10134.670000,9842.667000,9142.667000,9815.333000,9992.333000,12009.330000,8663.000000,9578.000000,10441.000000,4501.000000,3303.000000,7299.000000
37.428030,10204.330000,9980.333000,9199.333000,9720.000000,9940.000000,11980.000000,8708.000000,9630.000000,10377.000000,4543.000000,3469.000000,7594.000000
37.691610,9813.667000,9662.667000,9255.667000,9633.667000,9785.667000,11736.670000,8646.000000,9438.000000,10323.000000,4549.000000,3302.000000,7318.000000
37.955170,9978.000000,9681.000000,8938.000000,9947.000000,9653.000000,11662.000000,8583.333000,9448.333000,10158.330000,4310.667000,3212.667000,7215.667000
38.218750,10055.670000,9869.667000,9067.667000,9599.667000,9710.667000,11739.670000,8487.333000,9447.333000,10288.330000,4376.667000,3255.667000,7185.667000
38.482330,10220.000000,9925.000000,8959.000000,9845.000000,9949.000000,11941.000000,8563.667000,9554.667000,10296.670000,4422.333000,3249.333000,7332.333000
38.745920,10223.000000,10031.000000,9283.000000,9901.667000,10107.670000,11995.670000,8718.333000,9610.333000,10423.330000,4492.333000,3336.333000,7474.333000
39.009500,10401.000000,9992.000000,9173.000000,10272.000000,10111.000000,11960.000000,8823.333000,9716.333000,10449.330000,4533.333000,3379.333000,7606.333000
39.273080,10389.000000,10087.000000,9456.000000,10369.000000,9999.000000,12055.000000,8685.000000,9689.000000,10462.000000,4508.667000,3192.667000,7481.667000
39.536670,10334.330000,10053.330000,9386.333000,9926.000000,10012.000000,11929.000000,8702.000000,9728.000000,10421.000000,4530.667000,3172.667000,7438.667000
39.800220,10138.670000,9943.667000,9309.667000,9899.000000,9841.000000,11712.000000,8663.333000,9399.333000,10313.330000,4392.667000,3209.667000,7265.667000
