frame,phenotype,cell,sample,intesnsity
7,NOS11,INNOS,103,1.28538344
8,WT,cPRC,2,0.99161492
8,WT,cPRC,3,0.950200582
8,WT,cPRC,4,1.047764917
8,WT,cPRC,5,0.869461838
8,WT,cPRC,6,0.953369806
8,WT,cPRC,7,0.967148966
8,WT,cPRC,8,0.990271933
8,WT,cPRC,9,0.995237308
8,WT,cPRC,10,1.038530364
8,WT,cPRC,11,1.042191901
8,WT,cPRC,12,1.069917345
8,WT,cPRC,13,1.021093058
8,WT,cPRC,14,0.91288708
8,WT,cPRC,15,0.896864512
8,WT,cPRC,16,1.070420861
8,WT,cPRC,17,1.020750781
8,WT,cPRC,18,1.055605225
8,WT,cPRC,19,1.044405984
8,WT,cPRC,20,1.102347024
8,WT,cPRC,21,1.167217077
8,WT,cPRC,22,0.996295106
8,WT,cPRC,23,1.037895547
8,WT,cPRC,24,1.268950501
8,WT,cPRC,25,1.212240513
8,WT,cPRC,26,1.05487673
8,WT,cPRC,27,1.099459301
