Time::Relative Time!!R,Channel1_R2_Area::TV1-SR_R2_Area!!R,Channel1_R2_IntensityMean::TV1-SR_R2_IntensityMean!!R,Channel1_R3_Area::TV1-SR_R3_Area!!R,Channel1_R3_IntensityMean::TV1-SR_R3_IntensityMean!!R,Channel1_R4_Area::TV1-SR_R4_Area!!R,Channel1_R4_IntensityMean::TV1-SR_R4_IntensityMean!!R,Channel1_R5_Area::TV1-SR_R5_Area!!R,Channel1_R5_IntensityMean::TV1-SR_R5_IntensityMean!!R,Channel1_R6_Area::TV1-SR_R6_Area!!R,Channel1_R6_IntensityMean::TV1-SR_R6_IntensityMean!!R,Channel1_R7_Area::TV1-SR_R7_Area!!R,Channel1_R7_IntensityMean::TV1-SR_R7_IntensityMean!!R,Channel1_R8_Area::TV1-SR_R8_Area!!R,Channel1_R8_IntensityMean::TV1-SR_R8_IntensityMean!!R,Channel1_R10_Area::TV1-SR_R10_Area!!R,Channel1_R10_IntensityMean::TV1-SR_R10_IntensityMean!!R,Channel1_R11_Area::TV1-SR_R11_Area!!R,Channel1_R11_IntensityMean::TV1-SR_R11_IntensityMean!!R
3.888273889,37920297.67,47.85333333,14231264.66,1027.075235,36433227.18,175.3253061,26410372.03,600.6981982,53980659.04,767.8975207,20298512.28,357.8527473,47378066.04,115.6792216,12446780.06,187.3524492,26559079.08,204.506159
3.938273889,37920297.67,59.03647059,14231264.66,1144.869383,36433227.18,163.0493878,26410372.03,659.6891892,53980659.04,886.9903581,20298512.28,375.9274725,47378066.04,144.586629,12446780.06,230.0908005,26559079.08,229.5167973
3.988273611,37920297.67,50.97019608,14231264.66,1121.910136,36433227.18,202.3906122,26410372.03,692.8468468,53980659.04,725.0236915,20298512.28,296.9113553,47378066.04,146.0451977,12446780.06,149.0645161,26559079.08,189.2782755
4.038273611,37920297.67,44.03764706,14231264.66,1129.957158,36433227.18,270.6314286,26410372.03,748.2759009,53980659.04,796.9146006,20298512.28,288.374359,47378066.04,129.6016949,12446780.06,134.5985663,26559079.08,180.7441209
4.088273611,37920297.67,47.53686275,14231264.66,981.8369906,36433227.18,177.1440816,26410372.03,678.2539414,53980659.04,765.9534435,20298512.28,306.3875458,47378066.04,154.0925926,12446780.06,169.2150538,26559079.08,200.5722284
4.138273889,37920297.67,46.92588235,14231264.66,1116.747126,36433227.18,227.0489796,26410372.03,749.25,53980659.04,833.0710744,20298512.28,274.0820513,47378066.04,135.091651,12446780.06,176.1051374,26559079.08,216.0212766
4.188269444,37920297.67,52.28156863,14231264.66,1142.745037,36433227.18,208.5232653,26410372.03,725.285473,53980659.04,863.4798898,20298512.28,403.7421245,47378066.04,144.438167,12446780.06,209.7526882,26559079.08,223.5543113
4.238273889,37920297.67,48.95137255,14231264.66,1155.579937,36433227.18,243.8016327,26410372.03,862.7967342,53980659.04,892.5451791,20298512.28,232.9619048,47378066.04,156.7184557,12446780.06,113.8936679,26559079.08,171.5789474
4.288274444,37920297.67,46.90980392,14231264.66,1204.621735,36433227.18,265.4297959,26410372.03,776.6289414,53980659.04,839.6798898,20298512.28,264.1311355,47378066.04,140.3493409,12446780.06,130.2951016,26559079.08,189.9176932
4.338269722,37920297.67,53.14392157,14231264.66,1133.110763,36433227.18,223.2085714,26410372.03,831.2606982,53980659.04,920.6950413,20298512.28,251.2468864,47378066.04,128.9595104,12446780.06,153.5806452,26559079.08,220.0291153
4.388269722,37920297.67,44.51529412,14231264.66,1243.435737,36433227.18,328.8481633,26410372.03,758.1745495,53980659.04,819.1391185,20298512.28,293.1252747,47378066.04,123.9453861,12446780.06,164.6810036,26559079.08,224.5655095
4.438269444,37920297.67,50.13764706,14231264.66,1146.684431,36433227.18,186.5665306,26410372.03,837.3147523,53980659.04,838.1980716,20298512.28,396.8417582,47378066.04,113.391086,12446780.06,258.255675,26559079.08,271.4462486
4.488273889,37920297.67,45.63411765,14231264.66,1123.14629,36433227.18,206.8171429,26410372.03,718.6897523,53980659.04,804.1330579,20298512.28,312.3150183,47378066.04,127.3392969,12446780.06,228.1314217,26559079.08,230.4277716
4.538273889,37920297.67,56.25764706,14231264.66,1169.606061,36433227.18,208.6371429,26410372.03,690.276464,53980659.04,803.9559229,20298512.28,286.8630037,47378066.04,145.5225989,12446780.06,189.2150538,26559079.08,234.8930571
4.588273611,37920297.67,46.94823529,14231264.66,1092.019854,36433227.18,163.577551,26410372.03,588.2595721,53980659.04,828.0168044,20298512.28,390.3897436,47378066.04,119.2369743,12446780.06,258.4492234,26559079.08,279.4675252
4.638274167,37920297.67,48.09607843,14231264.66,1069.164054,36433227.18,216.2955102,26410372.03,644.6300676,53980659.04,821.962259,20298512.28,301.4212454,47378066.04,119.6748274,12446780.06,220.1397849,26559079.08,232.318589
4.688274167,37920297.67,48.17686275,14231264.66,1087.658307,36433227.18,189.9942857,26410372.03,650.9453829,53980659.04,823.1187328,20298512.28,382.3010989,47378066.04,124.5605775,12446780.06,222.265233,26559079.08,245.3784994
4.738273889,37920297.67,53.74588235,14231264.66,1104.529781,36433227.18,155.0477551,26410372.03,584.1227477,53980659.04,825.3487603,20298512.28,489.1934066,47378066.04,126.1895794,12446780.06,289.4480287,26559079.08,285.0011198
4.788274444,37920297.67,45.20627451,14231264.66,1051.07001,36433227.18,183.6946939,26410372.03,649.7730856,53980659.04,804.0630854,20298512.28,325.3289377,47378066.04,127.7015066,12446780.06,201.1804062,26559079.08,219.018477
4.83827,37920297.67,46.26352941,14231264.66,1079.084639,36433227.18,223.6542857,26410372.03,566.2578829,53980659.04,738.4986226,20298512.28,338.9296703,47378066.04,100.3750785,12446780.06,227.8363202,26559079.08,240.2597984
4.888274167,37920297.67,47.33529412,14231264.66,1251.299896,36433227.18,169.5289796,26410372.03,673.2663288,53980659.04,816.1187328,20298512.28,398.8820513,47378066.04,122.9695543,12446780.06,256.4301075,26559079.08,283.5100784
4.938274167,37920297.67,47.78156863,14231264.66,1480.828631,36433227.18,197.6069388,26410372.03,665.4273649,53980659.04,905.9506887,20298512.28,582.8358974,47378066.04,115.2074702,12446780.06,281.7275986,26559079.08,290.3202688
4.988273889,37920297.67,42.86941176,14231264.66,1391.876698,36433227.18,278.4710204,26410372.03,790.6007883,53980659.04,956.6955923,20298512.28,293.9333333,47378066.04,135.4799121,12446780.06,198.3249701,26559079.08,252.5089586
5.038273889,37920297.67,44.50588235,14231264.66,1334.675026,36433227.18,314.0538776,26410372.03,809.420045,53980659.04,941.2561983,20298512.28,277.2681319,47378066.04,125.2984934,12446780.06,166.8733572,26559079.08,208.9496081
5.088273889,37920297.67,38.29921569,14231264.66,1333.46186,36433227.18,391.8971429,26410372.03,711.1013514,53980659.04,875.4247934,20298512.28,255.2776557,47378066.04,103.6516008,12446780.06,140.3201912,26559079.08,200.0587906
